,sentence_text,e1_text,e2_text,relation_type,normalized_sentence
13,Caution is advised when TRISENOX is coadministered with other medications that can prolong the QT interval (e.g. certain antiarrhythmics or thioridazine) or lead to electrolyte abnormalities (such as diuretics or amphotericin B).,TRISENOX,diuretics,advise,Caution advised BRAND coadministered medications prolong QT interval (e.g. certain antiarrhythmics thioridazine) lead electrolyte abnormalities (such GROUP amphotericin B).
14,Caution is advised when TRISENOX is coadministered with other medications that can prolong the QT interval (e.g. certain antiarrhythmics or thioridazine) or lead to electrolyte abnormalities (such as diuretics or amphotericin B).,TRISENOX,amphotericin B,advise,Caution advised BRAND coadministered medications prolong QT interval (e.g. certain antiarrhythmics thioridazine) lead electrolyte abnormalities (such diuretics DRUG ).
15,"Intrathecal injection of naloxone at doses of 0.4 to 40 micrograms caused a dose-related blockade of the inhibition of the tail-flick response induced by intraventricular injection of beta-endorphin, and a high dose of naloxone (40 micrograms) completely blocked the tail-flick inhibition induced by intraventricular beta-endorphin (16 micrograms). ",naloxone,beta-endorphin,effect,Intrathecal injection DRUG doses 0.4 40 micrograms caused dose related blockade inhibition tail flick response induced intraventricular injection DRUG_N high dose naloxone (40 micrograms) completely blocked tail flick inhibition induced intraventricular beta endorphin (16 micrograms).
16,"Intrathecal injection of naloxone at doses of 0.4 to 40 micrograms caused a dose-related blockade of the inhibition of the tail-flick response induced by intraventricular injection of beta-endorphin, and a high dose of naloxone (40 micrograms) completely blocked the tail-flick inhibition induced by intraventricular beta-endorphin (16 micrograms). ",naloxone,beta-endorphin,effect,Intrathecal injection naloxone doses 0.4 40 micrograms caused dose related blockade inhibition tail flick response induced intraventricular injection beta endorphin high dose DRUG (40 micrograms) completely blocked tail flick inhibition induced intraventricular DRUG_N (16 micrograms).
17,"On the other hand, intrathecal naloxone (12-120 micrograms) had only a very weak effect on the tail-flick inhibition induced by intraventricular morphine (40 micrograms). ",naloxone,morphine,effect,hand intrathecal DRUG (12 120 micrograms) weak effect tail flick inhibition induced intraventricular DRUG (40 micrograms).
18,Intraventricular injection of naloxone at doses of 1.2 to 12 micrograms equally antagonized in a dose-dependent manner the tail-flick inhibition induced by intraventricular beta-endorphin and morphine. ,naloxone,beta-endorphin,effect,Intraventricular injection DRUG doses 1.2 12 micrograms equally antagonized dose dependent manner tail flick inhibition induced intraventricular DRUG_N morphine.
19,Intraventricular injection of naloxone at doses of 1.2 to 12 micrograms equally antagonized in a dose-dependent manner the tail-flick inhibition induced by intraventricular beta-endorphin and morphine. ,naloxone,morphine,effect,Intraventricular injection DRUG doses 1.2 12 micrograms equally antagonized dose dependent manner tail flick inhibition induced intraventricular beta endorphin DRUG .
20,Rarely salicylate toxicity may occur in patients who discontinue steroids after concurrent high-dose aspirin therapy.,steroids,aspirin,effect,Rarely salicylate toxicity may occur patients discontinue GROUP concurrent high dose BRAND therapy.
21,"Barbiturates, phenytoin, or rifampin increased metabolic clearance of fludrocortisone acetate because of the induction of hepatic enzymes.",Barbiturates,fludrocortisone acetate,mechanism,GROUP phenytoin rifampin increased metabolic clearance DRUG induction hepatic enzymes.
22,"Barbiturates, phenytoin, or rifampin increased metabolic clearance of fludrocortisone acetate because of the induction of hepatic enzymes.",phenytoin,fludrocortisone acetate,mechanism,Barbiturates DRUG rifampin increased metabolic clearance DRUG induction hepatic enzymes.
23,"Barbiturates, phenytoin, or rifampin increased metabolic clearance of fludrocortisone acetate because of the induction of hepatic enzymes.",rifampin,fludrocortisone acetate,mechanism,Barbiturates phenytoin DRUG increased metabolic clearance DRUG induction hepatic enzymes.
24,"Oxytocin or other oxytocics (concurrent use with dinoprost may result in uterine hypertonus, possibly causing uterine rupture or cervical laceration, especially in the absence of adequate cervical dilatation;",Oxytocin,dinoprost,effect,DRUG oxytocics (concurrent use DRUG may result uterine hypertonus possibly causing uterine rupture cervical laceration especially absence adequate cervical dilatation;
25,"Oxytocin or other oxytocics (concurrent use with dinoprost may result in uterine hypertonus, possibly causing uterine rupture or cervical laceration, especially in the absence of adequate cervical dilatation;",oxytocics,dinoprost,effect,Oxytocin GROUP (concurrent use DRUG may result uterine hypertonus possibly causing uterine rupture cervical laceration especially absence adequate cervical dilatation;
26,Acetaminophen: A report of severe acetaminophen toxicity was reported in a patient receiving Isoniazid.,acetaminophen,Isoniazid,effect,Acetaminophen: report severe DRUG toxicity reported patient receiving DRUG .
27,It is believed that the toxicity may have resulted from a previously unrecognized interaction between isoniazid and acetaminophen and a molecular basis for this interaction has been proposed.,isoniazid,acetaminophen,effect,believed toxicity may resulted previously unrecognized interaction DRUG DRUG molecular basis interaction proposed.
28,"Furthermore it has been proposed that isoniazid resulted In induction of P-450IIE1 in the patients liver which, in turn, resulted in a greater proportion of the ingested acetaminophen being converted to the toxic metabolites.",isoniazid,acetaminophen,mechanism,Furthermore proposed DRUG resulted induction P 450IIE1 patients liver turn resulted greater proportion ingested DRUG converted toxic metabolites.
29,"Carbamazepine: Isoniazid is known to slow the metabolism of carbamazepine and increase its serum levels Carbamazepine levels should be determined prior to concurrent administration with isoniazid, signs and symptoms of carbamazepine toxicity should be monitored closely, and appropriate dosage adjustment of the anticonvulsant should be made.",Isoniazid,carbamazepine,mechanism,Carbamazepine: DRUG known slow metabolism DRUG increase serum levels Carbamazepine levels determined prior concurrent administration isoniazid signs symptoms carbamazepine toxicity monitored closely appropriate dosage adjustment anticonvulsant made.
30,"Carbamazepine: Isoniazid is known to slow the metabolism of carbamazepine and increase its serum levels Carbamazepine levels should be determined prior to concurrent administration with isoniazid, signs and symptoms of carbamazepine toxicity should be monitored closely, and appropriate dosage adjustment of the anticonvulsant should be made.",Carbamazepine,isoniazid,advise,Carbamazepine: Isoniazid known slow metabolism carbamazepine increase serum levels DRUG levels determined prior concurrent administration DRUG signs symptoms carbamazepine toxicity monitored closely appropriate dosage adjustment anticonvulsant made.
31,Ketoconazole: Potential interaction of Ketoconazole and Isoniazid may exist.,Ketoconazole,Isoniazid,int,Ketoconazole: Potential interaction DRUG DRUG may exist.
32,Phenytoin: Isoniazid may increase serum levels of phenytoin.,Isoniazid,phenytoin,mechanism,Phenytoin: DRUG may increase serum levels DRUG .
33,"Therophylline: A recent study has shown that concomitan administration of isoniazid and theophylline may cause elevated plasma levels of theophylline, and in some instances a slight decrease in the elimination of isoniazid.",isoniazid,theophylline,mechanism,Therophylline: recent study shown concomitan administration DRUG DRUG may cause elevated plasma levels theophylline instances slight decrease elimination isoniazid.
34,Valproate: A recent case study has shown a possible increase in the plasma level of valproate when co administered with isoniazid.,valproate,isoniazid,mechanism,Valproate: recent case study shown possible increase plasma level DRUG co administered DRUG .
35,"Plasma valproate concentration should be monitored when isoniazid and valproate are co administered, and appropriate dosage adjustments of valproate should be made.",isoniazid,valproate,advise,Plasma valproate concentration monitored DRUG DRUG co administered appropriate dosage adjustments valproate made.
36,"Co-administration of MYOBLOC and aminoglycosides or other agents interfering with neuromuscular transmission (e.g., curare-like compounds) should only be performed with caution as the effect of the toxin may be potentiated.",MYOBLOC,aminoglycosides,advise,Co administration BRAND GROUP agents interfering neuromuscular transmission (e.g. curare like compounds) performed caution effect toxin may potentiated.
37,"Co-administration of MYOBLOC and aminoglycosides or other agents interfering with neuromuscular transmission (e.g., curare-like compounds) should only be performed with caution as the effect of the toxin may be potentiated.",MYOBLOC,curare-like compounds,advise,Co administration BRAND aminoglycosides agents interfering neuromuscular transmission (e.g. GROUP ) performed caution effect toxin may potentiated.
38,"Hormonal Contraceptives, Including Oral, Injectable, Transdermal, and Implantable Contraceptives: An interaction study demonstrated that co-administration of bosentan and the oral hormonal contraceptive Ortho-Novum produced average decreases of norethindrone and ethinyl estradiol levels of 14% and 31%, respectively.",bosentan,Ortho-Novum,mechanism,Hormonal Contraceptives Including Oral Injectable Transdermal Implantable Contraceptives: interaction study demonstrated co administration DRUG oral hormonal contraceptive BRAND produced average decreases norethindrone ethinyl estradiol levels 14% 31% respectively.
39,"Therefore, hormonal contraceptives, including oral, injectable, transdermal, and implantable forms, may not be reliable when TRACLEER is co-administered.",hormonal contraceptives,TRACLEER,effect,Therefore GROUP including oral injectable transdermal implantable forms may reliable BRAND co administered.
40,Steady-state bosentan plasma concentrations were 3- to 4-fold higher than in the absence of cyclosporine A.,bosentan,cyclosporine A,mechanism,Steady state DRUG plasma concentrations 3 4 fold higher absence DRUG .
41,The concomitant administration of bosentan and cyclosporine A is contraindicated.,bosentan,cyclosporine A,advise,concomitant administration DRUG DRUG contraindicated.
42,Co-administration of bosentan decreased the plasma concentrations of cyclosporine A (a CYP3A4 substrate) by approximately 50%.,bosentan,cyclosporine A,mechanism,Co administration DRUG decreased plasma concentrations DRUG (a CYP3A4 substrate) approximately 50%.
43,Co-administration of tacrolimus and bosentan resulted in markedly increased plasma concentrations of bosentan in animals.,tacrolimus,bosentan,mechanism,Co administration DRUG DRUG resulted markedly increased plasma concentrations bosentan animals.
44,Caution should be exercised if tacrolimus and bosentan are used together.,tacrolimus,bosentan,advise,Caution exercised DRUG DRUG used together.
45,"Therefore, the concomitant administration of TRACLEER and glyburide is contraindicated, and alternative hypoglycemic agents should be considered.",TRACLEER,glyburide,advise,Therefore concomitant administration BRAND DRUG contraindicated alternative hypoglycemic agents considered.
46,Co-administration of bosentan decreased the plasma concentrations of glyburide by approximately 40%.,bosentan,glyburide,mechanism,Co administration DRUG decreased plasma concentrations DRUG approximately 40%.
47,Bosentan is also expected to reduce plasma concentrations of other oral hypoglycemic agents that are predominantly metabolized by CYP2C9 or CYP3A4.,Bosentan,hypoglycemic agents,mechanism,DRUG also expected reduce plasma concentrations oral GROUP predominantly metabolized CYP2C9 CYP3A4.
48,"Ketoconazole: Co-administration of bosentan 125 mg b.i.d. and ketoconazole, a potent CYP3A4 inhibitor, increased the plasma concentrations of bosentan by approximately 2-fold.",bosentan,ketoconazole,mechanism,Ketoconazole: Co administration DRUG 125 mg b.i.d. DRUG potent CYP3A4 inhibitor increased plasma concentrations bosentan approximately 2 fold.
49,"Simvastatin and Other Statins: Co-administration of bosentan decreased the plasma concentrations of simvastatin (a CYP3A4 substrate), and its active  -hydroxy acid metabolite, by approximately 50%.",bosentan,simvastatin,mechanism,Simvastatin Statins: Co administration DRUG decreased plasma concentrations DRUG (a CYP3A4 substrate) active hydroxy acid metabolite approximately 50%.
50,"Bosentan is also expected to reduce plasma concentrations of other statins that have significant metabolism by CYP3A4, such as lovastatin and atorvastatin.",Bosentan,statins,mechanism,DRUG also expected reduce plasma concentrations GROUP significant metabolism CYP3A4 lovastatin atorvastatin.
51,"Bosentan is also expected to reduce plasma concentrations of other statins that have significant metabolism by CYP3A4, such as lovastatin and atorvastatin.",Bosentan,lovastatin,mechanism,DRUG also expected reduce plasma concentrations statins significant metabolism CYP3A4 DRUG atorvastatin.
52,"Bosentan is also expected to reduce plasma concentrations of other statins that have significant metabolism by CYP3A4, such as lovastatin and atorvastatin.",Bosentan,atorvastatin,mechanism,DRUG also expected reduce plasma concentrations statins significant metabolism CYP3A4 lovastatin DRUG .
53,Patients using CYP3A4 metabolized statins should have cholesterol levels monitored after TRACLEER is initiated to see whether the statin dose needs adjustment.,statins,TRACLEER,advise,Patients using CYP3A4 metabolized GROUP cholesterol levels monitored BRAND initiated see whether statin dose needs adjustment.
54,"Warfarin: Co-administration of bosentan 500 mg b.i.d. for 6 days decreased the plasma concentrations of both S-warfarin (a CYP2C9 substrate) and R-warfarin (a CYP3A4 substrate) by 29 and 38%, respectively.",bosentan,S-warfarin,mechanism,Warfarin: Co administration DRUG 500 mg b.i.d. 6 days decreased plasma concentrations DRUG (a CYP2C9 substrate) R warfarin (a CYP3A4 substrate) 29 38% respectively.
55,"Warfarin: Co-administration of bosentan 500 mg b.i.d. for 6 days decreased the plasma concentrations of both S-warfarin (a CYP2C9 substrate) and R-warfarin (a CYP3A4 substrate) by 29 and 38%, respectively.",bosentan,R-warfarin,mechanism,Warfarin: Co administration DRUG 500 mg b.i.d. 6 days decreased plasma concentrations warfarin (a CYP2C9 substrate) DRUG (a CYP3A4 substrate) 29 38% respectively.
56,"Therefore, the potential exists for a drug interaction between WELLBUTRIN and drugs that affect the CYP2B6 isoenzyme (e.g., orphenadrine and cyclophosphamide).",WELLBUTRIN,orphenadrine,int,Therefore potential exists drug interaction BRAND drugs affect CYP2B6 isoenzyme (e.g. DRUG cyclophosphamide).
57,"Therefore, the potential exists for a drug interaction between WELLBUTRIN and drugs that affect the CYP2B6 isoenzyme (e.g., orphenadrine and cyclophosphamide).",WELLBUTRIN,cyclophosphamide,int,Therefore potential exists drug interaction BRAND drugs affect CYP2B6 isoenzyme (e.g. orphenadrine DRUG ).
58,"While not systematically studied, certain drugs may induce the metabolism of bupropion (e.g., carbamazepine, phenobarbital, phenytoin).",bupropion,carbamazepine,mechanism,systematically studied certain drugs may induce metabolism DRUG (e.g. DRUG phenobarbital phenytoin).
59,"While not systematically studied, certain drugs may induce the metabolism of bupropion (e.g., carbamazepine, phenobarbital, phenytoin).",bupropion,phenobarbital,mechanism,systematically studied certain drugs may induce metabolism DRUG (e.g. carbamazepine DRUG phenytoin).
60,"While not systematically studied, certain drugs may induce the metabolism of bupropion (e.g., carbamazepine, phenobarbital, phenytoin).",bupropion,phenytoin,mechanism,systematically studied certain drugs may induce metabolism DRUG (e.g. carbamazepine phenobarbital DRUG ).
61,"In a study of 15 male subjects (ages 19 to 35 years) who were extensive metabolizers of the CYP2D6 isoenzyme, daily doses of bupropion given as 150 mg twice daily followed by a single dose of 50 mg desipramine increased the Cmax, AUC, and t1/2 of desipramine by an average of approximately 2-, 5- and 2-fold, respectively.",bupropion,desipramine,mechanism,study 15 male subjects (ages 19 35 years) extensive metabolizers CYP2D6 isoenzyme daily doses DRUG given 150 mg twice daily followed single dose 50 mg DRUG increased Cmax AUC t1/2 desipramine average approximately 2 5 2 fold respectively.
62,"Therefore, co-administration of bupropion with drugs that are metabolized by CYP2D6 isoenzyme including certain antidepressants (e.g., nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics (e.g., haloperidol, risperidone, thioridazine), beta-blockers (e.g., metoprolol), and Type 1C antiarrhythmics (e.g., propafenone, flecainide), should be approached with caution and should be initiated at the lower end of the dose range of the concomitant medication.",bupropion,antidepressants,advise,Therefore co administration DRUG drugs metabolized CYP2D6 isoenzyme including certain GROUP (e.g. nortriptyline imipramine desipramine paroxetine fluoxetine sertraline) antipsychotics (e.g. haloperidol risperidone thioridazine) beta blockers (e.g. metoprolol) Type 1C antiarrhythmics (e.g. propafenone flecainide) approached caution initiated lower end dose range concomitant medication.
63,"Therefore, co-administration of bupropion with drugs that are metabolized by CYP2D6 isoenzyme including certain antidepressants (e.g., nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics (e.g., haloperidol, risperidone, thioridazine), beta-blockers (e.g., metoprolol), and Type 1C antiarrhythmics (e.g., propafenone, flecainide), should be approached with caution and should be initiated at the lower end of the dose range of the concomitant medication.",bupropion,nortriptyline,advise,Therefore co administration DRUG drugs metabolized CYP2D6 isoenzyme including certain antidepressants (e.g. DRUG imipramine desipramine paroxetine fluoxetine sertraline) antipsychotics (e.g. haloperidol risperidone thioridazine) beta blockers (e.g. metoprolol) Type 1C antiarrhythmics (e.g. propafenone flecainide) approached caution initiated lower end dose range concomitant medication.
64,"Therefore, co-administration of bupropion with drugs that are metabolized by CYP2D6 isoenzyme including certain antidepressants (e.g., nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics (e.g., haloperidol, risperidone, thioridazine), beta-blockers (e.g., metoprolol), and Type 1C antiarrhythmics (e.g., propafenone, flecainide), should be approached with caution and should be initiated at the lower end of the dose range of the concomitant medication.",bupropion,imipramine,advise,Therefore co administration DRUG drugs metabolized CYP2D6 isoenzyme including certain antidepressants (e.g. nortriptyline DRUG desipramine paroxetine fluoxetine sertraline) antipsychotics (e.g. haloperidol risperidone thioridazine) beta blockers (e.g. metoprolol) Type 1C antiarrhythmics (e.g. propafenone flecainide) approached caution initiated lower end dose range concomitant medication.
65,"Therefore, co-administration of bupropion with drugs that are metabolized by CYP2D6 isoenzyme including certain antidepressants (e.g., nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics (e.g., haloperidol, risperidone, thioridazine), beta-blockers (e.g., metoprolol), and Type 1C antiarrhythmics (e.g., propafenone, flecainide), should be approached with caution and should be initiated at the lower end of the dose range of the concomitant medication.",bupropion,desipramine,advise,Therefore co administration DRUG drugs metabolized CYP2D6 isoenzyme including certain antidepressants (e.g. nortriptyline imipramine DRUG paroxetine fluoxetine sertraline) antipsychotics (e.g. haloperidol risperidone thioridazine) beta blockers (e.g. metoprolol) Type 1C antiarrhythmics (e.g. propafenone flecainide) approached caution initiated lower end dose range concomitant medication.
66,"Therefore, co-administration of bupropion with drugs that are metabolized by CYP2D6 isoenzyme including certain antidepressants (e.g., nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics (e.g., haloperidol, risperidone, thioridazine), beta-blockers (e.g., metoprolol), and Type 1C antiarrhythmics (e.g., propafenone, flecainide), should be approached with caution and should be initiated at the lower end of the dose range of the concomitant medication.",bupropion,paroxetine,advise,Therefore co administration DRUG drugs metabolized CYP2D6 isoenzyme including certain antidepressants (e.g. nortriptyline imipramine desipramine DRUG fluoxetine sertraline) antipsychotics (e.g. haloperidol risperidone thioridazine) beta blockers (e.g. metoprolol) Type 1C antiarrhythmics (e.g. propafenone flecainide) approached caution initiated lower end dose range concomitant medication.
67,"Therefore, co-administration of bupropion with drugs that are metabolized by CYP2D6 isoenzyme including certain antidepressants (e.g., nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics (e.g., haloperidol, risperidone, thioridazine), beta-blockers (e.g., metoprolol), and Type 1C antiarrhythmics (e.g., propafenone, flecainide), should be approached with caution and should be initiated at the lower end of the dose range of the concomitant medication.",bupropion,fluoxetine,advise,Therefore co administration DRUG drugs metabolized CYP2D6 isoenzyme including certain antidepressants (e.g. nortriptyline imipramine desipramine paroxetine DRUG sertraline) antipsychotics (e.g. haloperidol risperidone thioridazine) beta blockers (e.g. metoprolol) Type 1C antiarrhythmics (e.g. propafenone flecainide) approached caution initiated lower end dose range concomitant medication.
68,"Therefore, co-administration of bupropion with drugs that are metabolized by CYP2D6 isoenzyme including certain antidepressants (e.g., nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics (e.g., haloperidol, risperidone, thioridazine), beta-blockers (e.g., metoprolol), and Type 1C antiarrhythmics (e.g., propafenone, flecainide), should be approached with caution and should be initiated at the lower end of the dose range of the concomitant medication.",bupropion,sertraline,advise,Therefore co administration DRUG drugs metabolized CYP2D6 isoenzyme including certain antidepressants (e.g. nortriptyline imipramine desipramine paroxetine fluoxetine DRUG ) antipsychotics (e.g. haloperidol risperidone thioridazine) beta blockers (e.g. metoprolol) Type 1C antiarrhythmics (e.g. propafenone flecainide) approached caution initiated lower end dose range concomitant medication.
69,"Therefore, co-administration of bupropion with drugs that are metabolized by CYP2D6 isoenzyme including certain antidepressants (e.g., nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics (e.g., haloperidol, risperidone, thioridazine), beta-blockers (e.g., metoprolol), and Type 1C antiarrhythmics (e.g., propafenone, flecainide), should be approached with caution and should be initiated at the lower end of the dose range of the concomitant medication.",bupropion,antipsychotics,advise,Therefore co administration DRUG drugs metabolized CYP2D6 isoenzyme including certain antidepressants (e.g. nortriptyline imipramine desipramine paroxetine fluoxetine sertraline) GROUP (e.g. haloperidol risperidone thioridazine) beta blockers (e.g. metoprolol) Type 1C antiarrhythmics (e.g. propafenone flecainide) approached caution initiated lower end dose range concomitant medication.
70,"Therefore, co-administration of bupropion with drugs that are metabolized by CYP2D6 isoenzyme including certain antidepressants (e.g., nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics (e.g., haloperidol, risperidone, thioridazine), beta-blockers (e.g., metoprolol), and Type 1C antiarrhythmics (e.g., propafenone, flecainide), should be approached with caution and should be initiated at the lower end of the dose range of the concomitant medication.",bupropion,haloperidol,advise,Therefore co administration DRUG drugs metabolized CYP2D6 isoenzyme including certain antidepressants (e.g. nortriptyline imipramine desipramine paroxetine fluoxetine sertraline) antipsychotics (e.g. DRUG risperidone thioridazine) beta blockers (e.g. metoprolol) Type 1C antiarrhythmics (e.g. propafenone flecainide) approached caution initiated lower end dose range concomitant medication.
71,"Therefore, co-administration of bupropion with drugs that are metabolized by CYP2D6 isoenzyme including certain antidepressants (e.g., nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics (e.g., haloperidol, risperidone, thioridazine), beta-blockers (e.g., metoprolol), and Type 1C antiarrhythmics (e.g., propafenone, flecainide), should be approached with caution and should be initiated at the lower end of the dose range of the concomitant medication.",bupropion,risperidone,advise,Therefore co administration DRUG drugs metabolized CYP2D6 isoenzyme including certain antidepressants (e.g. nortriptyline imipramine desipramine paroxetine fluoxetine sertraline) antipsychotics (e.g. haloperidol DRUG thioridazine) beta blockers (e.g. metoprolol) Type 1C antiarrhythmics (e.g. propafenone flecainide) approached caution initiated lower end dose range concomitant medication.
72,"Therefore, co-administration of bupropion with drugs that are metabolized by CYP2D6 isoenzyme including certain antidepressants (e.g., nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics (e.g., haloperidol, risperidone, thioridazine), beta-blockers (e.g., metoprolol), and Type 1C antiarrhythmics (e.g., propafenone, flecainide), should be approached with caution and should be initiated at the lower end of the dose range of the concomitant medication.",bupropion,thioridazine,advise,Therefore co administration DRUG drugs metabolized CYP2D6 isoenzyme including certain antidepressants (e.g. nortriptyline imipramine desipramine paroxetine fluoxetine sertraline) antipsychotics (e.g. haloperidol risperidone DRUG ) beta blockers (e.g. metoprolol) Type 1C antiarrhythmics (e.g. propafenone flecainide) approached caution initiated lower end dose range concomitant medication.
73,"Therefore, co-administration of bupropion with drugs that are metabolized by CYP2D6 isoenzyme including certain antidepressants (e.g., nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics (e.g., haloperidol, risperidone, thioridazine), beta-blockers (e.g., metoprolol), and Type 1C antiarrhythmics (e.g., propafenone, flecainide), should be approached with caution and should be initiated at the lower end of the dose range of the concomitant medication.",bupropion,beta-blockers,advise,Therefore co administration DRUG drugs metabolized CYP2D6 isoenzyme including certain antidepressants (e.g. nortriptyline imipramine desipramine paroxetine fluoxetine sertraline) antipsychotics (e.g. haloperidol risperidone thioridazine) GROUP (e.g. metoprolol) Type 1C antiarrhythmics (e.g. propafenone flecainide) approached caution initiated lower end dose range concomitant medication.
74,"Therefore, co-administration of bupropion with drugs that are metabolized by CYP2D6 isoenzyme including certain antidepressants (e.g., nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics (e.g., haloperidol, risperidone, thioridazine), beta-blockers (e.g., metoprolol), and Type 1C antiarrhythmics (e.g., propafenone, flecainide), should be approached with caution and should be initiated at the lower end of the dose range of the concomitant medication.",bupropion,metoprolol,advise,Therefore co administration DRUG drugs metabolized CYP2D6 isoenzyme including certain antidepressants (e.g. nortriptyline imipramine desipramine paroxetine fluoxetine sertraline) antipsychotics (e.g. haloperidol risperidone thioridazine) beta blockers (e.g. DRUG ) Type 1C antiarrhythmics (e.g. propafenone flecainide) approached caution initiated lower end dose range concomitant medication.
75,"Therefore, co-administration of bupropion with drugs that are metabolized by CYP2D6 isoenzyme including certain antidepressants (e.g., nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics (e.g., haloperidol, risperidone, thioridazine), beta-blockers (e.g., metoprolol), and Type 1C antiarrhythmics (e.g., propafenone, flecainide), should be approached with caution and should be initiated at the lower end of the dose range of the concomitant medication.",bupropion,Type 1C antiarrhythmics,advise,Therefore co administration DRUG drugs metabolized CYP2D6 isoenzyme including certain antidepressants (e.g. nortriptyline imipramine desipramine paroxetine fluoxetine sertraline) antipsychotics (e.g. haloperidol risperidone thioridazine) beta blockers (e.g. metoprolol) GROUP (e.g. propafenone flecainide) approached caution initiated lower end dose range concomitant medication.
