,sentence_text,e1,e2,relation_type,normalized_sentence
11,"However, the peak plasma level of metformin was reduced by approximately 20% when taking Acarbose due to a slight delay in the absorption of metformin.",Acarbose,metformin,mechanism,"However_bf ,_bf peak_bf plasma_bf level_bf OTHER_DRUG reduced_be approximately_be 20%_be taking_be DRUG due_af slight_af delay_af absorption_af OTHER_DRUG ._af"
12,"Catecholamine-depleting drugs, such as reserpine, may have an additive effect when given with beta-blocking agents.",Catecholamine-depleting drugs,beta-blocking agents,effect,"Catecholamine-depleting_bf drugs_bf ,_bf reserpine_bf ,_bf may_bf additive_bf effect_bf given_bf beta-blocking_bf agents_bf ._bf"
13,"Catecholamine-depleting drugs, such as reserpine, may have an additive effect when given with beta-blocking agents.",reserpine,beta-blocking agents,effect,"Catecholamine-depleting_bf drugs_bf ,_bf DRUG ,_be may_be additive_be effect_be given_be beta-blocking_be agents_be ._be"
14,"Patients treated with acebutolol plus catecholamine depletors should, therefore, be observed closely for evidence of marked bradycardia or hypotension which may present as vertigo, syncope/presyncope, or orthostatic changes in blood pressure without compensatory tachycardia.",acebutolol,catecholamine depletors,advise,"Patients_bf treated_bf DRUG plus_be catecholamine_be depletors_be ,_be therefore_be ,_be observed_be closely_be evidence_be marked_be bradycardia_be hypotension_be may_be present_be vertigo_be ,_be syncope/presyncope_be ,_be orthostatic_be changes_be blood_be pressure_be without_be compensatory_be tachycardia_be ._be"
15,"Exaggerated hypertensive responses have been reported from the combined use of beta-adrenergic antagonists and alpha-adrenergic stimulants, including those contained in proprietary cold remedies and vasoconstrictive nasal drops.",beta-adrenergic antagonists,alpha-adrenergic stimulants,effect,"Exaggerated_bf hypertensive_bf responses_bf reported_bf combined_bf use_bf beta-adrenergic_bf antagonists_bf alpha-adrenergic_bf stimulants_bf ,_bf including_bf contained_bf proprietary_bf cold_bf remedies_bf vasoconstrictive_bf nasal_bf drops_bf ._bf"
16,Blunting of the antihypertensive effect of beta-adrenoceptor blocking agents by nonsteroidal anti-inflammatory drugs has been reported.,beta-adrenoceptor blocking agents,nonsteroidal anti-inflammatory drugs,effect,Blunting_bf antihypertensive_bf effect_bf beta-adrenoceptor_bf blocking_bf agents_bf nonsteroidal_bf anti-inflammatory_bf drugs_bf reported_bf ._bf
17,DIAMOX modifies phenytoin metabolism with increased serum levels of phenytoin.,DIAMOX,phenytoin,mechanism,DRUG modifies_be OTHER_DRUG metabolism_af increased_af serum_af levels_af OTHER_DRUG ._af
18,DIAMOX modifies phenytoin metabolism with increased serum levels of phenytoin.,DIAMOX,phenytoin,mechanism,DRUG modifies_be OTHER_DRUG metabolism_af increased_af serum_af levels_af OTHER_DRUG ._af
19,"By decreasing the gastrointestinal absorption of primidone, DIAMOX may decrease serum concentrations of primidone and its metabolites, with a consequent possible decrease in anticonvulsant effect.",DIAMOX,primidone,mechanism,"By_bf decreasing_bf gastrointestinal_bf absorption_bf OTHER_DRUG ,_be DRUG may_af decrease_af serum_af concentrations_af OTHER_DRUG metabolites_af ,_af consequent_af possible_af decrease_af anticonvulsant_af effect_af ._af"
20,"Caution is advised when beginning, discontinuing, or changing the dose of DIAMOX in patients receiving primidone.",DIAMOX,primidone,advise,"Caution_bf advised_bf beginning_bf ,_bf discontinuing_bf ,_bf changing_bf dose_bf DRUG patients_be receiving_be OTHER_DRUG ._af"
21,Acetazolamide may increase the effects of other folic acid antagonists.,Acetazolamide,folic acid antagonists,effect,DRUG may_be increase_be effects_be folic_be acid_be antagonists_be ._be
22,Acetazolamide decreases urinary excretion of amphetamine and may enhance the magnitude and duration of their effect.,Acetazolamide,amphetamine,mechanism,DRUG decreases_be urinary_be excretion_be OTHER_DRUG may_af enhance_af magnitude_af duration_af effect_af ._af
23,Acetazolamide reduces urinary excretion of quinidine and may enhance its effect.,Acetazolamide,quinidine,mechanism,DRUG reduces_be urinary_be excretion_be OTHER_DRUG may_af enhance_af effect_af ._af
24,Acetazolamide may prevent the urinary antiseptic effect of methenamine.,Acetazolamide,methenamine,effect,DRUG may_be prevent_be urinary_be antiseptic_be effect_be OTHER_DRUG ._af
25,Acetazolamide increases lithium excretion and the lithium may be decreased.,Acetazolamide,lithium,mechanism,DRUG increases_be OTHER_DRUG excretion_af OTHER_DRUG may_af decreased_af ._af
26,Acetazolamide and sodium bicarbonate used concurrently increases the risk of renal calculus formation.,Acetazolamide,sodium bicarbonate,effect,DRUG sodium_be bicarbonate_be used_be concurrently_be increases_be risk_be renal_be calculus_be formation_be ._be
27,Acetazolamide may elevate cyclosporine levels.,Acetazolamide,cyclosporine,mechanism,DRUG may_be elevate_be OTHER_DRUG levels_af ._af
28,Co-administration of probenecid with acyclovir has been shown to increase the mean half-life and the area under the concentration-time curve.,probenecid,acyclovir,mechanism,Co-administration_bf DRUG OTHER_DRUG shown_af increase_af mean_af half-life_af area_af concentration-time_af curve_af ._af
29,Ethanol:Clinical evidence has shown that etretinate can be formed with concurrent ingestion of acitretin and ethanol.,acitretin,ethanol,mechanism,Ethanol:Clinical_bf evidence_bf shown_bf etretinate_bf formed_bf concurrent_bf ingestion_bf DRUG OTHER_DRUG ._af
30,"Glibenclamide: In a study of 7 healthy male volunteers, acitretin treatment potentiated the blood glucose lowering effect of glibenclamide (a sulfonylurea similar to chlorpropamide) in 3 of the 7 subjects.",acitretin,glibenclamide,effect,"Glibenclamide:_bf In_bf study_bf 7_bf healthy_bf male_bf volunteers_bf ,_bf DRUG treatment_be potentiated_be blood_be glucose_be lowering_be effect_be OTHER_DRUG (a_af sulfonylurea_af similar_af chlorpropamide)_af 3_af 7_af subjects_af ._af"
31,"However, it has been established that acitretin interferes with the contraceptive effect of microdosed progestin minipill preparations.",acitretin,progestin,effect,"However_bf ,_bf established_bf DRUG interferes_be contraceptive_be effect_be microdosed_be OTHER_DRUG minipill_af preparations_af ._af"
32,Microdosed minipill progestin preparations are not recommended for use with Soriatane.,progestin,Soriatane,advise,Microdosed_bf minipill_bf DRUG preparations_be recommended_be use_be OTHER_DRUG ._af
33,Methotrexate: An increased risk of hepatitis has been reported to result from combined use of methotrexate and etretinate.,methotrexate,etretinate,effect,Methotrexate:_bf An_bf increased_bf risk_bf hepatitis_bf reported_bf result_bf combined_bf use_bf DRUG OTHER_DRUG ._af
34,"Consequently, the combination of methotrexate with acitretin is also contraindicated.",methotrexate,acitretin,advise,"Consequently_bf ,_bf combination_bf DRUG OTHER_DRUG also_af contraindicated_af ._af"
35,"Phenytoin: If acitretin is given concurrently with phenytoin, the protein binding of phenytoin may be reduced.",acitretin,phenytoin,mechanism,"Phenytoin:_bf If_bf DRUG given_be concurrently_be OTHER_DRUG ,_af protein_af binding_af OTHER_DRUG may_af reduced_af ._af"
36,"Tetracyclines: Since both acitretin and tetracyclines can cause increased intracranial pressure, their combined use is contraindicated.",acitretin,tetracyclines,effect,"Tetracyclines:_bf Since_bf DRUG OTHER_DRUG cause_af increased_af intracranial_af pressure_af ,_af combined_af use_af contraindicated_af ._af"
37,Vitamin A and oral retinoids: Concomitant administration of vitamin A and/or other oral retinoids with acitretin must be avoided because of the risk of hypervitaminosis A.,vitamin A,acitretin,advise,Vitamin_bf A_bf oral_bf retinoids:_bf Concomitant_bf administration_bf vitamin_bf A_bf and/or_bf oral_bf retinoids_bf OTHER_DRUG must_be avoided_be risk_be hypervitaminosis_be A_be ._be
38,Vitamin A and oral retinoids: Concomitant administration of vitamin A and/or other oral retinoids with acitretin must be avoided because of the risk of hypervitaminosis A.,retinoids,acitretin,advise,Vitamin_bf A_bf oral_bf retinoids:_bf Concomitant_bf administration_bf vitamin_bf A_bf and/or_bf oral_bf DRUG OTHER_DRUG must_af avoided_af risk_af hypervitaminosis_af A_af ._af
39,"Anakinra: Concurrent administration of anakinra (an interleukin-1 antagonist) and another TNF-blocking agent has been associated with an increased risk of serious infections, an increased risk of neutropenia and no additional benefit compared to these medicinal products alone.",anakinra,TNF-blocking agent,effect,"Anakinra:_bf Concurrent_bf administration_bf DRUG (an_be interleukin-1_be antagonist)_be another_be TNF-blocking_be agent_be associated_be increased_be risk_be serious_be infections_be ,_be increased_be risk_be neutropenia_be additional_be benefit_be compared_be medicinal_be products_be alone_be ._be"
40,"Anakinra: Concurrent administration of anakinra (an interleukin-1 antagonist) and another TNF-blocking agent has been associated with an increased risk of serious infections, an increased risk of neutropenia and no additional benefit compared to these medicinal products alone.",interleukin-1 antagonist,TNF-blocking agent,effect,"Anakinra:_bf Concurrent_bf administration_bf anakinra_bf (an_bf interleukin-1_bf antagonist)_bf another_bf TNF-blocking_bf agent_bf associated_bf increased_bf risk_bf serious_bf infections_bf ,_bf increased_bf risk_bf neutropenia_bf additional_bf benefit_bf compared_bf medicinal_bf products_bf alone_bf ._bf"
41,"Therefore the, combination of anakinra with other TNF-blocking agents, including HUMIRA, may also result i n similar toxicities.",anakinra,TNF-blocking agents,effect,"Therefore_bf ,_bf combination_bf DRUG TNF-blocking_be agents_be ,_be including_be HUMIRA_be ,_be may_be also_be result_be n_be similar_be toxicities_be ._be"
42,"Therefore the, combination of anakinra with other TNF-blocking agents, including HUMIRA, may also result i n similar toxicities.",anakinra,HUMIRA,effect,"Therefore_bf ,_bf combination_bf DRUG TNF-blocking_be agents_be ,_be including_be OTHER_DRUG ,_af may_af also_af result_af n_af similar_af toxicities_af ._af"
43,Digoxin and verapamil use may be rarely associated with ventricular fibrillation when combined with Adenocard.,Digoxin,Adenocard,effect,DRUG verapamil_be use_be may_be rarely_be associated_be ventricular_be fibrillation_be combined_be OTHER_DRUG ._af
44,Digoxin and verapamil use may be rarely associated with ventricular fibrillation when combined with Adenocard.,verapamil,Adenocard,effect,Digoxin_bf DRUG use_be may_be rarely_be associated_be ventricular_be fibrillation_be combined_be OTHER_DRUG ._af
45,The use of Adenocard in patients receiving digitalis may be rarely associated with ventricular fibrillation.,Adenocard,digitalis,effect,The_bf use_bf DRUG patients_be receiving_be OTHER_DRUG may_af rarely_af associated_af ventricular_af fibrillation_af ._af
46,The effects of adenosine are antagonized by methylxanthines such as caffeine and theophylline.,adenosine,methylxanthines,effect,The_bf effects_bf DRUG antagonized_be OTHER_DRUG caffeine_af theophylline_af ._af
47,The effects of adenosine are antagonized by methylxanthines such as caffeine and theophylline.,adenosine,caffeine,effect,The_bf effects_bf DRUG antagonized_be methylxanthines_be OTHER_DRUG theophylline_af ._af
48,The effects of adenosine are antagonized by methylxanthines such as caffeine and theophylline.,adenosine,theophylline,effect,The_bf effects_bf DRUG antagonized_be methylxanthines_be caffeine_be OTHER_DRUG ._af
49,"In the presence of these methylxanthines, larger doses of adenosine may be required or adenosine may not be effective.",methylxanthines,adenosine,advise,"In_bf presence_bf DRUG ,_be larger_be doses_be OTHER_DRUG may_af required_af OTHER_DRUG may_af effective_af ._af"
50,"In the presence of these methylxanthines, larger doses of adenosine may be required or adenosine may not be effective.",methylxanthines,adenosine,advise,"In_bf presence_bf DRUG ,_be larger_be doses_be OTHER_DRUG may_af required_af OTHER_DRUG may_af effective_af ._af"
51,Adenosine effects are potentiated by dipyridamole.,Adenosine,dipyridamole,effect,DRUG effects_be potentiated_be OTHER_DRUG ._af
52,"Thus, smaller doses of adenosine may be effective in the presence of dipyridamole.",adenosine,dipyridamole,effect,"Thus_bf ,_bf smaller_bf doses_bf DRUG may_be effective_be presence_be OTHER_DRUG ._af"
53,"As the primary effect of adenosine is to decrease conduction through the A-V node, higher degrees of heart block may be produced in the presence of carbamazepine.",adenosine,carbamazepine,effect,"As_bf primary_bf effect_bf DRUG decrease_be conduction_be A-V_be node_be ,_be higher_be degrees_be heart_be block_be may_be produced_be presence_be OTHER_DRUG ._af"
54,"Nafazodone, fluvoxamine, cimetidine (consider Xanax dose reduction).",Nafazodone,Xanax,advise,"DRUG ,_be fluvoxamine_be ,_be cimetidine_be (consider_be OTHER_DRUG dose_af reduction)_af ._af"
55,"Nafazodone, fluvoxamine, cimetidine (consider Xanax dose reduction).",fluvoxamine,Xanax,advise,"Nafazodone_bf ,_bf DRUG ,_be cimetidine_be (consider_be OTHER_DRUG dose_af reduction)_af ._af"
56,"Nafazodone, fluvoxamine, cimetidine (consider Xanax dose reduction).",cimetidine,Xanax,advise,"Nafazodone_bf ,_bf fluvoxamine_bf ,_bf DRUG (consider_be OTHER_DRUG dose_af reduction)_af ._af"
57,Dexamethasone: Steady-state trough concentrations of albendazole sulfoxide were about 56% higher when 8 mg dexamethasone was coadministered with each dose of albendazole (15 mg/kg/day) in eight neurocysticercosis patients.,dexamethasone,albendazole,mechanism,Dexamethasone:_bf Steady-state_bf trough_bf concentrations_bf OTHER_DRUG sulfoxide_be 56%_be higher_be 8_be mg_be DRUG coadministered_af dose_af OTHER_DRUG (15_af mg/kg/day)_af eight_af neurocysticercosis_af patients_af ._af
58,"Praziquantel: In the fed state, praziquantel (40 mg/kg) increased mean maximum plasma concentration and area under the curve of albendazole sulfoxide by about 50% in healthy subjects (n=10) compared with a separate group of subjects (n=6) given albendazole alone.",praziquantel,albendazole sulfoxide,mechanism,"Praziquantel:_bf In_bf fed_bf state_bf ,_bf DRUG (40_be mg/kg)_be increased_be mean_be maximum_be plasma_be concentration_be area_be curve_be albendazole_be sulfoxide_be 50%_be healthy_be subjects_be (n=10)_be compared_be separate_be group_be subjects_be (n=6)_be given_be albendazole_be alone_be ._be"
59,Cimetidine: Albendazole sulfoxide concentrations in bile and cystic fluid were increased (about 2-fold) in hydatid cyst patients treated with cimetidine (10 mg/kg/day) (n=7) compared with albendazole (20 mg/kg/day) alone (n=12).,Albendazole sulfoxide,cimetidine,mechanism,Cimetidine:_bf Albendazole_bf sulfoxide_bf concentrations_bf bile_bf cystic_bf fluid_bf increased_bf (about_bf 2-fold)_bf hydatid_bf cyst_bf patients_bf treated_bf OTHER_DRUG (10_be mg/kg/day)_be (n=7)_be compared_be albendazole_be (20_be mg/kg/day)_be alone_be (n=12)_be ._be
60,"Concurrent administration of drugs possessing nephrotoxic (e.g., aminoglycosides, indomethacin), myelotoxic (e.g., cytotoxic chemotherapy), cardiotoxic (e.g., doxorubicin) or hepatotoxic (e.g., methotrexate, asparaginase) effects with PROLEUKIN may increase toxicity in these organ systems.",aminoglycosides,PROLEUKIN,effect,"Concurrent_bf administration_bf drugs_bf possessing_bf nephrotoxic_bf (e_bf ._bf g_bf ._bf ,_bf DRUG ,_be indomethacin)_be ,_be myelotoxic_be (e_be ._be g_be ._be ,_be cytotoxic_be chemotherapy)_be ,_be cardiotoxic_be (e_be ._be g_be ._be ,_be doxorubicin)_be hepatotoxic_be (e_be ._be g_be ._be ,_be methotrexate_be ,_be asparaginase)_be effects_be OTHER_DRUG may_af increase_af toxicity_af organ_af systems_af ._af"
61,"Concurrent administration of drugs possessing nephrotoxic (e.g., aminoglycosides, indomethacin), myelotoxic (e.g., cytotoxic chemotherapy), cardiotoxic (e.g., doxorubicin) or hepatotoxic (e.g., methotrexate, asparaginase) effects with PROLEUKIN may increase toxicity in these organ systems.",indomethacin,PROLEUKIN,effect,"Concurrent_bf administration_bf drugs_bf possessing_bf nephrotoxic_bf (e_bf ._bf g_bf ._bf ,_bf aminoglycosides_bf ,_bf indomethacin)_bf ,_bf myelotoxic_bf (e_bf ._bf g_bf ._bf ,_bf cytotoxic_bf chemotherapy)_bf ,_bf cardiotoxic_bf (e_bf ._bf g_bf ._bf ,_bf doxorubicin)_bf hepatotoxic_bf (e_bf ._bf g_bf ._bf ,_bf methotrexate_bf ,_bf asparaginase)_bf effects_bf OTHER_DRUG may_be increase_be toxicity_be organ_be systems_be ._be"
62,"Concurrent administration of drugs possessing nephrotoxic (e.g., aminoglycosides, indomethacin), myelotoxic (e.g., cytotoxic chemotherapy), cardiotoxic (e.g., doxorubicin) or hepatotoxic (e.g., methotrexate, asparaginase) effects with PROLEUKIN may increase toxicity in these organ systems.",cytotoxic,PROLEUKIN,effect,"Concurrent_bf administration_bf drugs_bf possessing_bf nephrotoxic_bf (e_bf ._bf g_bf ._bf ,_bf aminoglycosides_bf ,_bf indomethacin)_bf ,_bf myelotoxic_bf (e_bf ._bf g_bf ._bf ,_bf DRUG chemotherapy)_be ,_be cardiotoxic_be (e_be ._be g_be ._be ,_be doxorubicin)_be hepatotoxic_be (e_be ._be g_be ._be ,_be methotrexate_be ,_be asparaginase)_be effects_be OTHER_DRUG may_af increase_af toxicity_af organ_af systems_af ._af"
63,"Concurrent administration of drugs possessing nephrotoxic (e.g., aminoglycosides, indomethacin), myelotoxic (e.g., cytotoxic chemotherapy), cardiotoxic (e.g., doxorubicin) or hepatotoxic (e.g., methotrexate, asparaginase) effects with PROLEUKIN may increase toxicity in these organ systems.",doxorubicin,PROLEUKIN,effect,"Concurrent_bf administration_bf drugs_bf possessing_bf nephrotoxic_bf (e_bf ._bf g_bf ._bf ,_bf aminoglycosides_bf ,_bf indomethacin)_bf ,_bf myelotoxic_bf (e_bf ._bf g_bf ._bf ,_bf cytotoxic_bf chemotherapy)_bf ,_bf cardiotoxic_bf (e_bf ._bf g_bf ._bf ,_bf doxorubicin)_bf hepatotoxic_bf (e_bf ._bf g_bf ._bf ,_bf methotrexate_bf ,_bf asparaginase)_bf effects_bf OTHER_DRUG may_be increase_be toxicity_be organ_be systems_be ._be"
64,"Concurrent administration of drugs possessing nephrotoxic (e.g., aminoglycosides, indomethacin), myelotoxic (e.g., cytotoxic chemotherapy), cardiotoxic (e.g., doxorubicin) or hepatotoxic (e.g., methotrexate, asparaginase) effects with PROLEUKIN may increase toxicity in these organ systems.",methotrexate,PROLEUKIN,effect,"Concurrent_bf administration_bf drugs_bf possessing_bf nephrotoxic_bf (e_bf ._bf g_bf ._bf ,_bf aminoglycosides_bf ,_bf indomethacin)_bf ,_bf myelotoxic_bf (e_bf ._bf g_bf ._bf ,_bf cytotoxic_bf chemotherapy)_bf ,_bf cardiotoxic_bf (e_bf ._bf g_bf ._bf ,_bf doxorubicin)_bf hepatotoxic_bf (e_bf ._bf g_bf ._bf ,_bf DRUG ,_be asparaginase)_be effects_be OTHER_DRUG may_af increase_af toxicity_af organ_af systems_af ._af"
65,"Concurrent administration of drugs possessing nephrotoxic (e.g., aminoglycosides, indomethacin), myelotoxic (e.g., cytotoxic chemotherapy), cardiotoxic (e.g., doxorubicin) or hepatotoxic (e.g., methotrexate, asparaginase) effects with PROLEUKIN may increase toxicity in these organ systems.",asparaginase,PROLEUKIN,effect,"Concurrent_bf administration_bf drugs_bf possessing_bf nephrotoxic_bf (e_bf ._bf g_bf ._bf ,_bf aminoglycosides_bf ,_bf indomethacin)_bf ,_bf myelotoxic_bf (e_bf ._bf g_bf ._bf ,_bf cytotoxic_bf chemotherapy)_bf ,_bf cardiotoxic_bf (e_bf ._bf g_bf ._bf ,_bf doxorubicin)_bf hepatotoxic_bf (e_bf ._bf g_bf ._bf ,_bf methotrexate_bf ,_bf asparaginase)_bf effects_bf OTHER_DRUG may_be increase_be toxicity_be organ_be systems_be ._be"
66,"Hypersensitivity reactions have been reported in patients receiving combination regimens containing sequential high dose PROLEUKIN and antineoplastic agents, specifically, dacarbazine, cis-platinum, tamoxifen and interferon-alfa.",PROLEUKIN,antineoplastic agents,effect,"Hypersensitivity_bf reactions_bf reported_bf patients_bf receiving_bf combination_bf regimens_bf containing_bf sequential_bf high_bf dose_bf DRUG antineoplastic_be agents_be ,_be specifically_be ,_be dacarbazine_be ,_be cis-platinum_be ,_be tamoxifen_be interferon-alfa_be ._be"
67,"Hypersensitivity reactions have been reported in patients receiving combination regimens containing sequential high dose PROLEUKIN and antineoplastic agents, specifically, dacarbazine, cis-platinum, tamoxifen and interferon-alfa.",PROLEUKIN,dacarbazine,effect,"Hypersensitivity_bf reactions_bf reported_bf patients_bf receiving_bf combination_bf regimens_bf containing_bf sequential_bf high_bf dose_bf DRUG antineoplastic_be agents_be ,_be specifically_be ,_be OTHER_DRUG ,_af cis-platinum_af ,_af tamoxifen_af interferon-alfa_af ._af"
68,"Hypersensitivity reactions have been reported in patients receiving combination regimens containing sequential high dose PROLEUKIN and antineoplastic agents, specifically, dacarbazine, cis-platinum, tamoxifen and interferon-alfa.",PROLEUKIN,cis-platinum,effect,"Hypersensitivity_bf reactions_bf reported_bf patients_bf receiving_bf combination_bf regimens_bf containing_bf sequential_bf high_bf dose_bf DRUG antineoplastic_be agents_be ,_be specifically_be ,_be dacarbazine_be ,_be OTHER_DRUG ,_af tamoxifen_af interferon-alfa_af ._af"
69,"Hypersensitivity reactions have been reported in patients receiving combination regimens containing sequential high dose PROLEUKIN and antineoplastic agents, specifically, dacarbazine, cis-platinum, tamoxifen and interferon-alfa.",PROLEUKIN,tamoxifen,effect,"Hypersensitivity_bf reactions_bf reported_bf patients_bf receiving_bf combination_bf regimens_bf containing_bf sequential_bf high_bf dose_bf DRUG antineoplastic_be agents_be ,_be specifically_be ,_be dacarbazine_be ,_be cis-platinum_be ,_be OTHER_DRUG interferon-alfa_af ._af"
70,"Hypersensitivity reactions have been reported in patients receiving combination regimens containing sequential high dose PROLEUKIN and antineoplastic agents, specifically, dacarbazine, cis-platinum, tamoxifen and interferon-alfa.",PROLEUKIN,interferon-alfa,effect,"Hypersensitivity_bf reactions_bf reported_bf patients_bf receiving_bf combination_bf regimens_bf containing_bf sequential_bf high_bf dose_bf DRUG antineoplastic_be agents_be ,_be specifically_be ,_be dacarbazine_be ,_be cis-platinum_be ,_be tamoxifen_be OTHER_DRUG ._af"
71,"Myocardial injury, including myocardial infarction, myocarditis, ventricular hypokinesia, and severe rhabdomyolysis appear to be increased in patients receiving PROLEUKIN and interferon-alfa concurrently.",PROLEUKIN,interferon-alfa,effect,"Myocardial_bf injury_bf ,_bf including_bf myocardial_bf infarction_bf ,_bf myocarditis_bf ,_bf ventricular_bf hypokinesia_bf ,_bf severe_bf rhabdomyolysis_bf appear_bf increased_bf patients_bf receiving_bf DRUG OTHER_DRUG concurrently_af ._af"
72,"Exacerbation or the initial presentation of a number of autoimmune and inflammatory disorders has been observed following concurrent use of interferon-alfa and PROLEUKIN, including crescentic IgA glomerulonephritis, oculo-bulbar myasthenia gravis, inflammatory arthritis, thyroiditis, bullous pemphigoid, and Stevens-Johnson syndrome.",interferon-alfa,PROLEUKIN,effect,"Exacerbation_bf initial_bf presentation_bf number_bf autoimmune_bf inflammatory_bf disorders_bf observed_bf following_bf concurrent_bf use_bf DRUG OTHER_DRUG ,_af including_af crescentic_af IgA_af glomerulonephritis_af ,_af oculo-bulbar_af myasthenia_af gravis_af ,_af inflammatory_af arthritis_af ,_af thyroiditis_af ,_af bullous_af pemphigoid_af ,_af Stevens-Johnson_af syndrome_af ._af"
73,"Although glucocorticoids have been shown to reduce PROLEUKIN-induced side effects including fever, renal insufficiency, hyperbilirubinemia, confusion, and dyspnea, concomitant administration of these agents with PROLEUKIN may reduce the antitumor effectiveness of PROLEUKIN and thus should be avoided. 12 Beta-blockers and other antihypertensives may potentiate the hypotension seen with PROLEUKIN.",glucocorticoids,PROLEUKIN,effect,"Although_bf DRUG shown_be reduce_be PROLEUKIN-induced_be side_be effects_be including_be fever_be ,_be renal_be insufficiency_be ,_be hyperbilirubinemia_be ,_be confusion_be ,_be dyspnea_be ,_be concomitant_be administration_be agents_be OTHER_DRUG may_af reduce_af antitumor_af effectiveness_af OTHER_DRUG thus_af avoided_af ._af 12_af Beta-blockers_af antihypertensives_af may_af potentiate_af hypotension_af seen_af OTHER_DRUG ._af"
