,sentence_text,e1_text,e2_text,relation_type,normalized_sentence
34,Valproate: A recent case study has shown a possible increase in the plasma level of valproate when co administered with isoniazid.,valproate,isoniazid,mechanism,Valproate: recent case study shown possible increase plasma level DRUG co administered OTHER_DRUG .
35,"Plasma valproate concentration should be monitored when isoniazid and valproate are co administered, and appropriate dosage adjustments of valproate should be made.",isoniazid,valproate,advise,Plasma valproate concentration monitored DRUG OTHER_DRUG co administered appropriate dosage adjustments valproate made.
36,"Co-administration of MYOBLOC and aminoglycosides or other agents interfering with neuromuscular transmission (e.g., curare-like compounds) should only be performed with caution as the effect of the toxin may be potentiated.",MYOBLOC,aminoglycosides,advise,Co administration DRUG OTHER_DRUG agents interfering neuromuscular transmission (e.g. curare like compounds) performed caution effect toxin may potentiated.
37,"Co-administration of MYOBLOC and aminoglycosides or other agents interfering with neuromuscular transmission (e.g., curare-like compounds) should only be performed with caution as the effect of the toxin may be potentiated.",MYOBLOC,curare-like compounds,advise,Co administration DRUG aminoglycosides agents interfering neuromuscular transmission (e.g. OTHER_DRUG ) performed caution effect toxin may potentiated.
38,"Hormonal Contraceptives, Including Oral, Injectable, Transdermal, and Implantable Contraceptives: An interaction study demonstrated that co-administration of bosentan and the oral hormonal contraceptive Ortho-Novum produced average decreases of norethindrone and ethinyl estradiol levels of 14% and 31%, respectively.",bosentan,Ortho-Novum,mechanism,Hormonal Contraceptives Including Oral Injectable Transdermal Implantable Contraceptives: interaction study demonstrated co administration DRUG oral hormonal contraceptive OTHER_DRUG produced average decreases norethindrone ethinyl estradiol levels 14% 31% respectively.
39,"Therefore, hormonal contraceptives, including oral, injectable, transdermal, and implantable forms, may not be reliable when TRACLEER is co-administered.",hormonal contraceptives,TRACLEER,effect,Therefore DRUG including oral injectable transdermal implantable forms may reliable OTHER_DRUG co administered.
40,Steady-state bosentan plasma concentrations were 3- to 4-fold higher than in the absence of cyclosporine A.,bosentan,cyclosporine A,mechanism,Steady state DRUG plasma concentrations 3 4 fold higher absence OTHER_DRUG .
41,The concomitant administration of bosentan and cyclosporine A is contraindicated.,bosentan,cyclosporine A,advise,concomitant administration DRUG OTHER_DRUG contraindicated.
42,Co-administration of bosentan decreased the plasma concentrations of cyclosporine A (a CYP3A4 substrate) by approximately 50%.,bosentan,cyclosporine A,mechanism,Co administration DRUG decreased plasma concentrations OTHER_DRUG (a CYP3A4 substrate) approximately 50%.
43,Co-administration of tacrolimus and bosentan resulted in markedly increased plasma concentrations of bosentan in animals.,tacrolimus,bosentan,mechanism,Co administration DRUG OTHER_DRUG resulted markedly increased plasma concentrations bosentan animals.
44,Caution should be exercised if tacrolimus and bosentan are used together.,tacrolimus,bosentan,advise,Caution exercised DRUG OTHER_DRUG used together.
45,"Therefore, the concomitant administration of TRACLEER and glyburide is contraindicated, and alternative hypoglycemic agents should be considered.",TRACLEER,glyburide,advise,Therefore concomitant administration DRUG OTHER_DRUG contraindicated alternative hypoglycemic agents considered.
46,Co-administration of bosentan decreased the plasma concentrations of glyburide by approximately 40%.,bosentan,glyburide,mechanism,Co administration DRUG decreased plasma concentrations OTHER_DRUG approximately 40%.
47,Bosentan is also expected to reduce plasma concentrations of other oral hypoglycemic agents that are predominantly metabolized by CYP2C9 or CYP3A4.,Bosentan,hypoglycemic agents,mechanism,DRUG also expected reduce plasma concentrations oral OTHER_DRUG predominantly metabolized CYP2C9 CYP3A4.
48,"Ketoconazole: Co-administration of bosentan 125 mg b.i.d. and ketoconazole, a potent CYP3A4 inhibitor, increased the plasma concentrations of bosentan by approximately 2-fold.",bosentan,ketoconazole,mechanism,Ketoconazole: Co administration DRUG 125 mg b.i.d. OTHER_DRUG potent CYP3A4 inhibitor increased plasma concentrations bosentan approximately 2 fold.
49,"Simvastatin and Other Statins: Co-administration of bosentan decreased the plasma concentrations of simvastatin (a CYP3A4 substrate), and its active  -hydroxy acid metabolite, by approximately 50%.",bosentan,simvastatin,mechanism,Simvastatin Statins: Co administration DRUG decreased plasma concentrations OTHER_DRUG (a CYP3A4 substrate) active hydroxy acid metabolite approximately 50%.
50,"Bosentan is also expected to reduce plasma concentrations of other statins that have significant metabolism by CYP3A4, such as lovastatin and atorvastatin.",Bosentan,statins,mechanism,DRUG also expected reduce plasma concentrations OTHER_DRUG significant metabolism CYP3A4 lovastatin atorvastatin.
51,"Bosentan is also expected to reduce plasma concentrations of other statins that have significant metabolism by CYP3A4, such as lovastatin and atorvastatin.",Bosentan,lovastatin,mechanism,DRUG also expected reduce plasma concentrations statins significant metabolism CYP3A4 OTHER_DRUG atorvastatin.
52,"Bosentan is also expected to reduce plasma concentrations of other statins that have significant metabolism by CYP3A4, such as lovastatin and atorvastatin.",Bosentan,atorvastatin,mechanism,DRUG also expected reduce plasma concentrations statins significant metabolism CYP3A4 lovastatin OTHER_DRUG .
53,Patients using CYP3A4 metabolized statins should have cholesterol levels monitored after TRACLEER is initiated to see whether the statin dose needs adjustment.,statins,TRACLEER,advise,Patients using CYP3A4 metabolized DRUG cholesterol levels monitored OTHER_DRUG initiated see whether statin dose needs adjustment.
54,"Warfarin: Co-administration of bosentan 500 mg b.i.d. for 6 days decreased the plasma concentrations of both S-warfarin (a CYP2C9 substrate) and R-warfarin (a CYP3A4 substrate) by 29 and 38%, respectively.",bosentan,S-warfarin,mechanism,Warfarin: Co administration DRUG 500 mg b.i.d. 6 days decreased plasma concentrations OTHER_DRUG (a CYP2C9 substrate) R warfarin (a CYP3A4 substrate) 29 38% respectively.
55,"Warfarin: Co-administration of bosentan 500 mg b.i.d. for 6 days decreased the plasma concentrations of both S-warfarin (a CYP2C9 substrate) and R-warfarin (a CYP3A4 substrate) by 29 and 38%, respectively.",bosentan,R-warfarin,mechanism,Warfarin: Co administration DRUG 500 mg b.i.d. 6 days decreased plasma concentrations warfarin (a CYP2C9 substrate) OTHER_DRUG (a CYP3A4 substrate) 29 38% respectively.
56,"Therefore, the potential exists for a drug interaction between WELLBUTRIN and drugs that affect the CYP2B6 isoenzyme (e.g., orphenadrine and cyclophosphamide).",WELLBUTRIN,orphenadrine,int,Therefore potential exists drug interaction DRUG drugs affect CYP2B6 isoenzyme (e.g. OTHER_DRUG cyclophosphamide).
57,"Therefore, the potential exists for a drug interaction between WELLBUTRIN and drugs that affect the CYP2B6 isoenzyme (e.g., orphenadrine and cyclophosphamide).",WELLBUTRIN,cyclophosphamide,int,Therefore potential exists drug interaction DRUG drugs affect CYP2B6 isoenzyme (e.g. orphenadrine OTHER_DRUG ).
58,"While not systematically studied, certain drugs may induce the metabolism of bupropion (e.g., carbamazepine, phenobarbital, phenytoin).",bupropion,carbamazepine,mechanism,systematically studied certain drugs may induce metabolism DRUG (e.g. OTHER_DRUG phenobarbital phenytoin).
59,"While not systematically studied, certain drugs may induce the metabolism of bupropion (e.g., carbamazepine, phenobarbital, phenytoin).",bupropion,phenobarbital,mechanism,systematically studied certain drugs may induce metabolism DRUG (e.g. carbamazepine OTHER_DRUG phenytoin).
60,"While not systematically studied, certain drugs may induce the metabolism of bupropion (e.g., carbamazepine, phenobarbital, phenytoin).",bupropion,phenytoin,mechanism,systematically studied certain drugs may induce metabolism DRUG (e.g. carbamazepine phenobarbital OTHER_DRUG ).
61,"In a study of 15 male subjects (ages 19 to 35 years) who were extensive metabolizers of the CYP2D6 isoenzyme, daily doses of bupropion given as 150 mg twice daily followed by a single dose of 50 mg desipramine increased the Cmax, AUC, and t1/2 of desipramine by an average of approximately 2-, 5- and 2-fold, respectively.",bupropion,desipramine,mechanism,study 15 male subjects (ages 19 35 years) extensive metabolizers CYP2D6 isoenzyme daily doses DRUG given 150 mg twice daily followed single dose 50 mg OTHER_DRUG increased Cmax AUC t1/2 desipramine average approximately 2 5 2 fold respectively.
62,"Therefore, co-administration of bupropion with drugs that are metabolized by CYP2D6 isoenzyme including certain antidepressants (e.g., nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics (e.g., haloperidol, risperidone, thioridazine), beta-blockers (e.g., metoprolol), and Type 1C antiarrhythmics (e.g., propafenone, flecainide), should be approached with caution and should be initiated at the lower end of the dose range of the concomitant medication.",bupropion,antidepressants,advise,Therefore co administration DRUG drugs metabolized CYP2D6 isoenzyme including certain OTHER_DRUG (e.g. nortriptyline imipramine desipramine paroxetine fluoxetine sertraline) antipsychotics (e.g. haloperidol risperidone thioridazine) beta blockers (e.g. metoprolol) Type 1C antiarrhythmics (e.g. propafenone flecainide) approached caution initiated lower end dose range concomitant medication.
63,"Therefore, co-administration of bupropion with drugs that are metabolized by CYP2D6 isoenzyme including certain antidepressants (e.g., nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics (e.g., haloperidol, risperidone, thioridazine), beta-blockers (e.g., metoprolol), and Type 1C antiarrhythmics (e.g., propafenone, flecainide), should be approached with caution and should be initiated at the lower end of the dose range of the concomitant medication.",bupropion,nortriptyline,advise,Therefore co administration DRUG drugs metabolized CYP2D6 isoenzyme including certain antidepressants (e.g. OTHER_DRUG imipramine desipramine paroxetine fluoxetine sertraline) antipsychotics (e.g. haloperidol risperidone thioridazine) beta blockers (e.g. metoprolol) Type 1C antiarrhythmics (e.g. propafenone flecainide) approached caution initiated lower end dose range concomitant medication.
64,"Therefore, co-administration of bupropion with drugs that are metabolized by CYP2D6 isoenzyme including certain antidepressants (e.g., nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics (e.g., haloperidol, risperidone, thioridazine), beta-blockers (e.g., metoprolol), and Type 1C antiarrhythmics (e.g., propafenone, flecainide), should be approached with caution and should be initiated at the lower end of the dose range of the concomitant medication.",bupropion,imipramine,advise,Therefore co administration DRUG drugs metabolized CYP2D6 isoenzyme including certain antidepressants (e.g. nortriptyline OTHER_DRUG desipramine paroxetine fluoxetine sertraline) antipsychotics (e.g. haloperidol risperidone thioridazine) beta blockers (e.g. metoprolol) Type 1C antiarrhythmics (e.g. propafenone flecainide) approached caution initiated lower end dose range concomitant medication.
65,"Therefore, co-administration of bupropion with drugs that are metabolized by CYP2D6 isoenzyme including certain antidepressants (e.g., nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics (e.g., haloperidol, risperidone, thioridazine), beta-blockers (e.g., metoprolol), and Type 1C antiarrhythmics (e.g., propafenone, flecainide), should be approached with caution and should be initiated at the lower end of the dose range of the concomitant medication.",bupropion,desipramine,advise,Therefore co administration DRUG drugs metabolized CYP2D6 isoenzyme including certain antidepressants (e.g. nortriptyline imipramine OTHER_DRUG paroxetine fluoxetine sertraline) antipsychotics (e.g. haloperidol risperidone thioridazine) beta blockers (e.g. metoprolol) Type 1C antiarrhythmics (e.g. propafenone flecainide) approached caution initiated lower end dose range concomitant medication.
66,"Therefore, co-administration of bupropion with drugs that are metabolized by CYP2D6 isoenzyme including certain antidepressants (e.g., nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics (e.g., haloperidol, risperidone, thioridazine), beta-blockers (e.g., metoprolol), and Type 1C antiarrhythmics (e.g., propafenone, flecainide), should be approached with caution and should be initiated at the lower end of the dose range of the concomitant medication.",bupropion,paroxetine,advise,Therefore co administration DRUG drugs metabolized CYP2D6 isoenzyme including certain antidepressants (e.g. nortriptyline imipramine desipramine OTHER_DRUG fluoxetine sertraline) antipsychotics (e.g. haloperidol risperidone thioridazine) beta blockers (e.g. metoprolol) Type 1C antiarrhythmics (e.g. propafenone flecainide) approached caution initiated lower end dose range concomitant medication.
67,"Therefore, co-administration of bupropion with drugs that are metabolized by CYP2D6 isoenzyme including certain antidepressants (e.g., nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics (e.g., haloperidol, risperidone, thioridazine), beta-blockers (e.g., metoprolol), and Type 1C antiarrhythmics (e.g., propafenone, flecainide), should be approached with caution and should be initiated at the lower end of the dose range of the concomitant medication.",bupropion,fluoxetine,advise,Therefore co administration DRUG drugs metabolized CYP2D6 isoenzyme including certain antidepressants (e.g. nortriptyline imipramine desipramine paroxetine OTHER_DRUG sertraline) antipsychotics (e.g. haloperidol risperidone thioridazine) beta blockers (e.g. metoprolol) Type 1C antiarrhythmics (e.g. propafenone flecainide) approached caution initiated lower end dose range concomitant medication.
68,"Therefore, co-administration of bupropion with drugs that are metabolized by CYP2D6 isoenzyme including certain antidepressants (e.g., nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics (e.g., haloperidol, risperidone, thioridazine), beta-blockers (e.g., metoprolol), and Type 1C antiarrhythmics (e.g., propafenone, flecainide), should be approached with caution and should be initiated at the lower end of the dose range of the concomitant medication.",bupropion,sertraline,advise,Therefore co administration DRUG drugs metabolized CYP2D6 isoenzyme including certain antidepressants (e.g. nortriptyline imipramine desipramine paroxetine fluoxetine OTHER_DRUG ) antipsychotics (e.g. haloperidol risperidone thioridazine) beta blockers (e.g. metoprolol) Type 1C antiarrhythmics (e.g. propafenone flecainide) approached caution initiated lower end dose range concomitant medication.
69,"Therefore, co-administration of bupropion with drugs that are metabolized by CYP2D6 isoenzyme including certain antidepressants (e.g., nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics (e.g., haloperidol, risperidone, thioridazine), beta-blockers (e.g., metoprolol), and Type 1C antiarrhythmics (e.g., propafenone, flecainide), should be approached with caution and should be initiated at the lower end of the dose range of the concomitant medication.",bupropion,antipsychotics,advise,Therefore co administration DRUG drugs metabolized CYP2D6 isoenzyme including certain antidepressants (e.g. nortriptyline imipramine desipramine paroxetine fluoxetine sertraline) OTHER_DRUG (e.g. haloperidol risperidone thioridazine) beta blockers (e.g. metoprolol) Type 1C antiarrhythmics (e.g. propafenone flecainide) approached caution initiated lower end dose range concomitant medication.
70,"Therefore, co-administration of bupropion with drugs that are metabolized by CYP2D6 isoenzyme including certain antidepressants (e.g., nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics (e.g., haloperidol, risperidone, thioridazine), beta-blockers (e.g., metoprolol), and Type 1C antiarrhythmics (e.g., propafenone, flecainide), should be approached with caution and should be initiated at the lower end of the dose range of the concomitant medication.",bupropion,haloperidol,advise,Therefore co administration DRUG drugs metabolized CYP2D6 isoenzyme including certain antidepressants (e.g. nortriptyline imipramine desipramine paroxetine fluoxetine sertraline) antipsychotics (e.g. OTHER_DRUG risperidone thioridazine) beta blockers (e.g. metoprolol) Type 1C antiarrhythmics (e.g. propafenone flecainide) approached caution initiated lower end dose range concomitant medication.
71,"Therefore, co-administration of bupropion with drugs that are metabolized by CYP2D6 isoenzyme including certain antidepressants (e.g., nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics (e.g., haloperidol, risperidone, thioridazine), beta-blockers (e.g., metoprolol), and Type 1C antiarrhythmics (e.g., propafenone, flecainide), should be approached with caution and should be initiated at the lower end of the dose range of the concomitant medication.",bupropion,risperidone,advise,Therefore co administration DRUG drugs metabolized CYP2D6 isoenzyme including certain antidepressants (e.g. nortriptyline imipramine desipramine paroxetine fluoxetine sertraline) antipsychotics (e.g. haloperidol OTHER_DRUG thioridazine) beta blockers (e.g. metoprolol) Type 1C antiarrhythmics (e.g. propafenone flecainide) approached caution initiated lower end dose range concomitant medication.
72,"Therefore, co-administration of bupropion with drugs that are metabolized by CYP2D6 isoenzyme including certain antidepressants (e.g., nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics (e.g., haloperidol, risperidone, thioridazine), beta-blockers (e.g., metoprolol), and Type 1C antiarrhythmics (e.g., propafenone, flecainide), should be approached with caution and should be initiated at the lower end of the dose range of the concomitant medication.",bupropion,thioridazine,advise,Therefore co administration DRUG drugs metabolized CYP2D6 isoenzyme including certain antidepressants (e.g. nortriptyline imipramine desipramine paroxetine fluoxetine sertraline) antipsychotics (e.g. haloperidol risperidone OTHER_DRUG ) beta blockers (e.g. metoprolol) Type 1C antiarrhythmics (e.g. propafenone flecainide) approached caution initiated lower end dose range concomitant medication.
73,"Therefore, co-administration of bupropion with drugs that are metabolized by CYP2D6 isoenzyme including certain antidepressants (e.g., nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics (e.g., haloperidol, risperidone, thioridazine), beta-blockers (e.g., metoprolol), and Type 1C antiarrhythmics (e.g., propafenone, flecainide), should be approached with caution and should be initiated at the lower end of the dose range of the concomitant medication.",bupropion,beta-blockers,advise,Therefore co administration DRUG drugs metabolized CYP2D6 isoenzyme including certain antidepressants (e.g. nortriptyline imipramine desipramine paroxetine fluoxetine sertraline) antipsychotics (e.g. haloperidol risperidone thioridazine) OTHER_DRUG (e.g. metoprolol) Type 1C antiarrhythmics (e.g. propafenone flecainide) approached caution initiated lower end dose range concomitant medication.
74,"Therefore, co-administration of bupropion with drugs that are metabolized by CYP2D6 isoenzyme including certain antidepressants (e.g., nortriptyline, imipramine, desipramine, paroxetine, fluoxetine, sertraline), antipsychotics (e.g., haloperidol, risperidone, thioridazine), beta-blockers (e.g., metoprolol), and Type 1C antiarrhythmics (e.g., propafenone, flecainide), should be approached with caution and should be initiated at the lower end of the dose range of the concomitant medication.",bupropion,metoprolol,advise,Therefore co administration DRUG drugs metabolized CYP2D6 isoenzyme including certain antidepressants (e.g. nortriptyline imipramine desipramine paroxetine fluoxetine sertraline) antipsychotics (e.g. haloperidol risperidone thioridazine) beta blockers (e.g. OTHER_DRUG ) Type 1C antiarrhythmics (e.g. propafenone flecainide) approached caution initiated lower end dose range concomitant medication.
